,bsecode,close,name,nsecode,per_chg,sr,volume
2,532281,1150.95,Hcl Technologies Limited,HCLTECH,3.8,3.0,6605038.0
9,531213,127.95,Manappuram Finance Limited,MANAPPURAM,3.48,10.0,5740839.0
0,533179,4924.0,Persistent Systems Limited,PERSISTENT,3.44,1.0,712319.0
3,543227,973.5,Happiest Minds Technologies Ltd,HAPPSTMNDS,1.14,4.0,596648.0
6,532356,281.65,Triveni Engineering & Industries Limited,TRIVENI,1.08,7.0,267009.0
8,500940,176.35,Finolex Industries Limited,FINPIPE,1.0,9.0,588893.0
7,532134,198.4,Bank Of Baroda,BANKBARODA,0.71,8.0,16740705.0
5,500850,389.65,The Indian Hotels Company Limited,INDHOTEL,0.57,6.0,2523610.0
4,543064,487.4,Suven Pharmaceuticals Ltd,SUVENPHAR,0.36,5.0,232685.0
1,532830,1849.85,Astral Poly Technik Limited,ASTRAL,0.2,2.0,288190.0
